activity_id,subscriber_id,activity_time,activity_type,data_usage_mb,device_type,network_type,roaming_flag,tower_id,region
ACT-0000210,SUB-00053,2026-07-06T21:44:00,APP_USAGE,3491.85,IOT,5G,Y,SW-TWR-003,Southwest
ACT-0000211,SUB-00013,2026-07-05T18:22:00,DEVICE_ATTACH,4418.36,ANDROID,5G,N,MW-TWR-002,Midwest
ACT-0000212,SUB-00077,2026-07-03T04:18:00,ROAMING_EVENT,578.04,IOT,5G,Y,SW-TWR-002,Southwest
ACT-0000213,SUB-00084,2026-07-07T16:25:00,APP_USAGE,1666.51,IOT,5G,N,MW-TWR-001,Midwest
ACT-0000214,SUB-00078,2026-07-21T17:56:00,APP_USAGE,164.5,IOS,5G,N,SW-TWR-002,Southwest
ACT-0000215,SUB-00096,2026-07-23T04:07:00,APP_USAGE,4895.38,IOT,5G,Y,SE-TWR-001,Southeast
ACT-0000216,SUB-00047,2026-07-24T08:50:00,SMS,2843.12,IOT,5G,N,NW-TWR-002,Northwest
ACT-0000217,SUB-00082,2026-07-25T02:46:00,ROAMING_EVENT,674.51,IOS,5G,Y,SE-TWR-002,Southeast
ACT-0000218,SUB-00082,2026-07-04T02:46:00,ROAMING_EVENT,4185.49,HOTSPOT,5G,Y,MW-TWR-003,Midwest
ACT-0000219,SUB-00022,2026-07-18T17:55:00,DEVICE_ATTACH,4648.19,ANDROID,5G,N,SE-TWR-001,Southeast
ACT-0000220,SUB-00017,2026-07-27T10:08:00,ROAMING_EVENT,3328.32,ANDROID,5G,Y,MW-TWR-002,Midwest
ACT-0000221,SUB-00036,2026-07-02T16:47:00,SMS,388.1,HOTSPOT,5G,N,MW-TWR-003,Midwest
ACT-0000222,SUB-00046,2026-07-08T03:27:00,SMS,2029.84,IOS,5G,N,SE-TWR-003,Southeast
ACT-0000223,SUB-00055,2026-07-17T08:31:00,DATA_SESSION,4860.71,HOTSPOT,4G,N,NW-TWR-003,Northwest
ACT-0000224,SUB-00049,2026-07-18T18:26:00,DEVICE_ATTACH,1068.91,IOT,5G,N,SE-TWR-001,Southeast
ACT-0000225,SUB-00063,2026-07-02T10:43:00,SMS,3372.62,IOS,5G,N,MW-TWR-001,Midwest
ACT-0000226,SUB-00038,2026-07-13T17:46:00,DEVICE_ATTACH,1997.1,ANDROID,5G,N,SW-TWR-003,Southwest
ACT-0000227,SUB-00046,2026-07-25T15:51:00,SMS,3741.28,ANDROID,5G,N,SW-TWR-003,Southwest
ACT-0000228,SUB-00094,2026-07-16T05:09:00,ROAMING_EVENT,1135.63,ANDROID,5G,Y,SW-TWR-002,Southwest
ACT-0000229,SUB-00077,2026-07-10T11:37:00,DATA_SESSION,1420.27,IOS,5G,N,MW-TWR-003,Midwest
ACT-0000230,SUB-00064,2026-07-14T10:24:00,DEVICE_ATTACH,3867.25,HOTSPOT,5G,Y,MW-TWR-001,Midwest
ACT-0000231,SUB-00024,2026-07-21T06:52:00,ROAMING_EVENT,4897.5,HOTSPOT,5G,Y,NW-TWR-001,Northwest
ACT-0000232,SUB-00037,2026-07-03T05:00:00,DATA_SESSION,3673.07,ANDROID,5G,N,SW-TWR-003,Southwest
ACT-0000233,SUB-00082,2026-07-02T06:51:00,SMS,759.57,IOT,5G,N,MW-TWR-002,Midwest
ACT-0000234,SUB-00045,2026-07-19T03:21:00,DATA_SESSION,1994.54,ANDROID,5G,Y,SE-TWR-002,Southeast
ACT-0000235,SUB-00093,2026-07-22T18:38:00,DATA_SESSION,606.2,HOTSPOT,5G,Y,MW-TWR-001,Midwest
ACT-0000236,SUB-00006,2026-07-12T04:48:00,APP_USAGE,2858.7,HOTSPOT,5G,Y,SW-TWR-001,Southwest
ACT-0000237,SUB-00096,2026-07-16T15:15:00,DATA_SESSION,2859.3,HOTSPOT,5G,N,MW-TWR-001,Midwest
ACT-0000238,SUB-00081,2026-07-13T18:47:00,DEVICE_ATTACH,4976.26,HOTSPOT,5G,Y,SW-TWR-002,Southwest
ACT-0000239,SUB-00074,2026-07-11T15:06:00,SMS,1109.98,IOT,5G,N,SE-TWR-002,Southeast
ACT-0000240,SUB-00094,2026-07-01T07:07:00,DATA_SESSION,577.23,IOS,5G,Y,MW-TWR-003,Midwest
ACT-0000241,SUB-00017,2026-07-25T14:59:00,ROAMING_EVENT,1591.79,IOS,4G,Y,NW-TWR-003,Northwest
ACT-0000242,SUB-00007,2026-07-20T21:12:00,DEVICE_ATTACH,2753.57,ANDROID,5G,N,MW-TWR-001,Midwest
ACT-0000243,SUB-00006,2026-07-21T04:14:00,APP_USAGE,1980.43,IOS,5G,N,SE-TWR-002,Southeast
ACT-0000244,SUB-00098,2026-07-18T23:20:00,ROAMING_EVENT,3227.23,ANDROID,5G,Y,SE-TWR-003,Southeast
ACT-0000245,SUB-00015,2026-07-03T03:51:00,DATA_SESSION,4204.15,IOS,5G,Y,MW-TWR-002,Midwest
ACT-0000246,SUB-00049,2026-07-26T13:17:00,APP_USAGE,3557.56,IOS,5G,N,SW-TWR-003,Southwest
ACT-0000247,SUB-00072,2026-07-19T01:00:00,DEVICE_ATTACH,198.97,IOS,5G,N,SW-TWR-003,Southwest
ACT-0000248,SUB-00034,2026-07-19T05:25:00,DATA_SESSION,2533.29,ANDROID,5G,N,MW-TWR-001,Midwest
ACT-0000249,SUB-00030,2026-07-06T20:05:00,SMS,2933.92,IOS,4G,N,NW-TWR-003,Northwest
ACT-0000250,SUB-00007,2026-07-03T09:20:00,SMS,4037.97,HOTSPOT,4G,N,NW-TWR-003,Northwest
